#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),
,xorg-server,is the graphical server.,
,xorg-xwininfo,allows querying information about windows.,
,xorg-xinit,starts the graphical server.,
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.,
A,lf-git,is an extensive terminal file manager that everyone likes.,
,arandr,is a UI for screen adjustment.,
,bc,is used for a dropdown calculator.,
,calcurse,is a lightweight terminal-based calendar.,
,xcompmgr,is for transparency and removing screen-tearing.,
,xorg-xprop,is a tool for detecting window properties.,
,dosfstools,allows your computer to access dos-like filesystems.,
,libnotify,allows desktop notifications.,
,dunst,is a suckless notification system.,
,exfat-utils,allows management of FAT drives.,
,sxiv,is a minimalist image viewer.,
,xwallpaper,sets the wallpaper.,
,ffmpeg,can record and splice video and audio on the command line.,
,gnome-keyring,serves as the system keyring.,
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in LARBS.,
,neovim,a tidier vim with some useful features,
,mpd,is a lightweight music daemon.,
,mpc,is a terminal interface for mpd.,
,mpv,is the patrician's choice video player.,
,man-db,lets you read man pages of programs.,
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.,
,newsboat,is a terminal RSS client.,
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features.",
,noto-fonts-emoji,is an emoji font.,
,ntfs-3g,allows accessing NTFS partitions.,
,pulseaudio-alsa,is the audio system.,
,pulsemixer,is an audio controler.,
,pamixer,is a command-line audio interface.,
A,sc-im,is an Excel-like terminal spreadsheet manager.,
,maim,can take quick screenshots at your request.,
,abook,is an offline addressbook usable by neomutt.,
,socat,is a socket utility.,
,unclutter,hides an inactive mouse.,
,unrar,extracts rar's.,
,unzip,unzips zips.,
,lynx,is a terminal browser.,
,xcape,gives the special escape/super mappings of LARBS.,
,xclip,allows for copying and pasting from the command line.,
,xdotool,provides window action utilities on the command line.,
,xorg-xdpyinfo,aids with resolution determination and screen recording.,
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.,
,zathura,is a pdf viewer with vim-like bindings.,
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.,
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.,
,mediainfo,shows audio and video information.,
,atool,manages and gives information about archives.,
,fzf,is a fuzzy finder tool.,
,highlight,can highlight code output.,
,xorg-xbacklight,enables changing screen brightness levels.,
A,zsh-fast-syntax-highlighting,provides syntax highlighting in the shell.,
A,task-spooler,queues commands or files for download.,
A,simple-mtpfs-git,enables the mounting of cell phones.,
G,https://github.com/NicholasasaurusRex/dwmblocks.git,serves as the modular status bar.,
G,https://github.com/NicholasasaurusRex/dmenu.git,runs commands and provides a UI for selection.,
G,https://github.com/NicholasasaurusRex/st.git,is my custom build of suckless's terminal emulator.,
G,https://github.com/NicholasasaurusRex/dwm.git,is the window manager.,
A,mutt-wizard-git,is a light-weight terminal-based email system.,
,slock,"allows you to lock your computer, and quickly unlock with your password.",
,arch-wiki-lite,Arch Wiki search from the terminal,
,arch-wiki-docs,Arch Wiki on the command line,
,awesome-terminal-fonts,fonts,
,bleachbit,deep clean your drives,
,chafa,terminal image viewer,
,cmake,used to make programs in C,
,cronie,so you can make cronjobs,
,dictd,dictionary from the terminal,
,gcolor3,GUI color picker,
,gimp,Image editor,
,glances,terminal bases resource monitor,
,gtop,terminal based resource monitor,
,htop,terminal based resource monitor,
,isync,used for email client neomutt,
,klavaro,typing tutor,
,libnotify,for notifications,
,light,for backgound lighting on monitor,
,man-pages,man-pages enough said,
,msmtp,for neomutt,
,neofetch,terminal based system information,
,neomutt,email client,
,nodejs,node-js,
,notmuch,for email client,
,noto-fonts,fonts,
,noto-fonts-extra,fonts,
,noto-fonts-cjk,fonts,
,noto-fonts-emoji,fonts,
,npm,node package management,
,openssh,ssh client,
,pass,the unix password manager,
,powerline-fonts,fonts,
,powertop,fonts,
,python-pynvim,neovim python module,
,python-pip,python installation program,
,renameutils,file renameing utilities,
,rsync,rsync is for copying files in style,
,shotcut,video editor,
,stress,stress cpu,
,speedtest-cli,terminal based internet speed checker,
,syncthing,sync files across devices,
,thefuck,enables you to fuck terminal commands,
,ttf-inconsolata,fonts,
,ttf-joypixels,fonts,
,ufw,firewall,
,units,terminal based unit converting tool,
,usbutils,usb utilities,
,wavemon,wifi monitoring tools,
,whois,whois,
,wireless_tools,wireless tools,
,wire-desktop,wire,
A,colorpicker,terminal based color picker,
A,ttf-ms-fonts,fonts,
A,mutt-wizard-git,mutt wizard email client setup tool makes setting up mutt bearable,
A,nerd-fonts-source-code-pro,fonts,
A,nerd-fonts-dejavu-complete,fonts,
A,nerd-fonts-complete-mono-glyphs,fonts,
A,nerd-fonts-comlete,fonts,
A,spotify,spotify desktop client,
A,ttf-vista-fonts,fonts,
A,urlview-git,for neomutt email cient,
